Rank,Names,Age,WorthPerBillion,Worth,Work Industry,Company Name,Country,State,City,Organization,Self Made,Gender,Date of Birth,Title,Age Group
1818,Tom Werner,71,1.6,1600000000.00,Sports,SportsTeams,United States,California,Los Angeles,Not provided,TRUE,Male,12/04/1950,Chief Executive Officer,Old
1929,Henrique Dubugras,26,1.5,1500000000.00,Finance & Investments,Fintech,United States,California,Los Angeles,Brex,TRUE,Male,10/11/1995,Cofounder,Young Adult
1929,Pedro Franceschi,25,1.5,1500000000.00,Finance & Investments,Fintech,United States,California,Los Angeles,Brex,TRUE,Male,19/07/1996,Cofounder,Young Adult
1929,Zach Perret,34,1.5,1500000000.00,Finance & Investments,Fintech,United States,California,San Francisco,Plaid,TRUE,Male,17/09/1987,Cofounder,Young Adult
1929,Joe Lacob,66,1.5,1500000000.00,Sports,GoldenStateWarriors,United States,California,Atherton,Not provided,TRUE,Male,10/01/1956,Chief Executive Officer,Old
1929,Thomas Steyer,64,1.5,1500000000.00,Finance & Investments,HedgeFunds,United States,California,San Francisco,Not provided,TRUE,Male,27/06/1957,Chief Executive Officer,Old
1929,Kevin Systrom,38,1.5,1500000000.00,Technology,Instagram,United States,California,San Francisco,Instagram,TRUE,Male,30/12/1983,Cofounder,Young Adult
1929,Egon Durban,48,1.5,1500000000.00,Finance & Investments,PrivateEquity,United States,California,Atherton,Not provided,TRUE,Male,23/08/1973,Chief Executive Officer,Middle Aged Adult
1929,Kenneth Hao,53,1.5,1500000000.00,Finance & Investments,PrivateEquity,United States,California,Hillsborough,Not provided,TRUE,Male,11/09/1968,Chief Executive Officer,Middle Aged Adult
1929,Safra Catz,60,1.5,1500000000.00,Technology,Software,United States,California,Redwood City,Oracle,TRUE,Female,13/12/1961,Chief Executive Officer,Middle Aged Adult
2076,Gary Lauder,59,1.4,1400000000.00,Fashion & Retail,EsteeLauder,United States,California,Atherton,Not provided,FALSE,Male,05/05/1962,Chief Executive Officer,Middle Aged Adult
2076,William Hockey,32,1.4,1400000000.00,Finance & Investments,Fintech,United States,California,San Francisco,Plaid,TRUE,Male,21/09/1989,Cofounder,Young Adult
2076,Art Levinson,72,1.4,1400000000.00,Diversified,Genentech Apple,United States,California,Hillsborough,Not provided,TRUE,Male,31/03/1950,Chief Executive Officer,Old
2076,Ben Silbermann,39,1.4,1400000000.00,Media & Entertainment,Instagram,United States,California,San Francisco,Pinterest,TRUE,Male,14/07/1982,Cofounder,Young Adult
2076,Chen Tianqiao,48,1.4,1400000000.00,Technology,OnlineGames,United States,California,Atherton,Not provided,TRUE,Male,16/05/1973,Chief Executive Officer,Middle Aged Adult
2076,Mark Pincus,56,1.4,1400000000.00,Technology,OnlineGames,United States,California,San Francisco,Zynga,TRUE,Male,13/02/1966,Chairman,Middle Aged Adult
2076,Thierry Cruanes,54,1.4,1400000000.00,Technology,Software,United States,California,San Mateo,Not provided,TRUE,Male,23/06/1967,Chief Executive Officer,Middle Aged Adult
2076,Benoit Dageville,55,1.4,1400000000.00,Technology,Software,United States,California,San Carlos,Not provided,TRUE,Male,29/06/1966,Chief Executive Officer,Middle Aged Adult
2190,Richard Saghian,40,1.3,1300000000.00,Fashion & Retail,FashionRetail,United States,California,Los Angeles,Not provided,TRUE,Male,06/08/1981,Chief Executive Officer,Young Adult
2190,Tony Xu,37,1.3,1300000000.00,Technology,FoodDeliveryService,United States,California,San Francisco,Not provided,TRUE,Male,20/09/1984,Chief Executive Officer,Young Adult
2190,Adam Foroughi,41,1.3,1300000000.00,Media & Entertainment,MobileGames,United States,California,Truckee,Not provided,TRUE,Male,07/05/1980,Chief Executive Officer,Middle Aged Adult
2190,Paul Sciarra,41,1.3,1300000000.00,Media & Entertainment,Pinterest,United States,California,San Francisco,Not provided,TRUE,Male,15/02/1981,Chief Executive Officer,Middle Aged Adult
2190,John Ocampo,63,1.3,1300000000.00,Technology,Semiconductors,United States,California,Los Altos,Not provided,TRUE,Male,05/04/1959,Chief Executive Officer,Old
2190,Frederic Luddy,67,1.3,1300000000.00,Technology,Software,United States,California,San Diego,ServiceNow,TRUE,Male,24/11/1954,Entrepreneur,Old
2190,James Scapa,65,1.3,1300000000.00,Technology,Software,United States,California,Atherton,Not provided,TRUE,Male,23/01/1957,Chief Executive Officer,Old
2324,Tim Draper,63,1.2,1200000000.00,Finance & Investments,Cryptocurrency,United States,California,Atherton,Not provided,FALSE,Male,11/06/1958,Chief Executive Officer,Old
2324,David Girouard,56,1.2,1200000000.00,Finance & Investments,Fintech,United States,California,Redwood City,Not provided,TRUE,Male,13/03/1966,Chief Executive Officer,Middle Aged Adult
2324,Stanley Tang,29,1.2,1200000000.00,Technology,FoodDeliveryApp,United States,California,San Francisco,DoorDash,TRUE,Male,27/10/1992,Cofounder,Young Adult
2324,Robert Fisher,68,1.2,1200000000.00,Fashion & Retail,Gap,United States,California,San Francisco,Gap,FALSE,Male,01/08/1953,Chairman,Old
2324,William Fisher,65,1.2,1200000000.00,Fashion & Retail,Gap,United States,California,San Francisco,Gap,FALSE,Male,01/04/1957,Director,Old
2324,Steven Tisch,73,1.2,1200000000.00,Diversified,Insurance,United States,California,Beverly Hills,Not provided,FALSE,Male,14/02/1949,Chief Executive Officer,Old
2324,Yvon Chouinard,83,1.2,1200000000.00,Fashion & Retail,Patagonia,United States,California,Ventura,Not provided,TRUE,Male,09/11/1938,Chief Executive Officer,Old
2324,Todd McKinnon,50,1.2,1200000000.00,Technology,Software,United States,California,San Francisco,Not provided,TRUE,Male,25/10/1971,Chief Executive Officer,Middle Aged Adult
2448,Andy Fang,29,1.1,1100000000.00,Technology,FoodDeliveryApp,United States,California,Monte Vista,DoorDash,TRUE,Male,21/06/1992,Cofounder,Young Adult
2448,Donald Friese,81,1.1,1100000000.00,Manufacturing,Manufacturing,United States,California,Los Angeles,Not provided,TRUE,Male,03/10/1940,Chief Executive Officer,Old
2448,Andrew Karam,40,1.1,1100000000.00,Media & Entertainment,MobileGames,United States,California,Menlo Park,Not provided,TRUE,Male,12/02/1982,Chief Executive Officer,Young Adult
2448,Alexander Karp,54,1.1,1100000000.00,Technology,Software,United States,California,Palo Alto,Palantir Technologies,TRUE,Male,01/10/1967,Entrepreneur,Middle Aged Adult
2578,Jeff Lawson,44,1,1000000000.00,Technology,Software,United States,California,San Francisco,Not provided,TRUE,Male,21/06/1977,Entrepreneur,Middle Aged Adult
2578,Mike Speiser,51,1,1000000000.00,Technology,Software,United States,California,San Francisco,Sutter Hill Ventures,TRUE,Male,25/01/1971,Director,Middle Aged Adult
180,Philip Anschutz,82,10.9,10900000000.00,Finance & Investments,Investments,United States,Colorado,Denver,Not provided,FALSE,Male,28/12/1939,Chief Executive Officer,Old
241,Charles Ergen,69,8.7,8700000000.00,Media & Entertainment,Satellite TV,United States,Colorado,Denver,DISH Network,TRUE,Male,01/03/1953,Founder and Chairman,Old
321,John Malone,81,7.4,7400000000.00,Media & Entertainment,CableTelevision,United States,Colorado,Elizabeth,Not provided,TRUE,Male,07/03/1941,Chief Executive Officer,Old
637,Mark Stevens,62,4.5,4500000000.00,Finance & Investments,VentureCapital,United States,Colorado,Steamboat Springs,Not provided,TRUE,Male,17/02/1960,Chief Executive Officer,Old
822,James Leprino,84,3.6,3600000000.00,Food & Beverage,Cheese,United States,Colorado,Indian Hills,Leprino Foods,FALSE,Male,22/11/1937,Chairman,Old
984,Pat Stryker,65,3.1,3100000000.00,Healthcare,MedicalEquipment,United States,Colorado,Fort Collins,Not provided,FALSE,Female,06/04/1956,Chief Executive Officer,Old
1096,Kenneth Tuchman,62,2.8,2800000000.00,Service,CallCenters,United States,Colorado,Denver,Not provided,TRUE,Male,23/10/1959,Chief Executive Officer,Old
1818,"Cargill MacMillan, III.",62,1.6,1600000000.00,Food & Beverage,Cargill,United States,Colorado,Boulder,Not provided,FALSE,Male,21/12/1959,Chief Executive Officer,Old
1818,William MacMillan,67,1.6,1600000000.00,Food & Beverage,Cargill,United States,Colorado,Englewood,Not provided,FALSE,Male,25/05/1954,Chief Executive Officer,Old
2076,Gary Magness,68,1.4,1400000000.00,Media & Entertainment,CableTelevision Investments,United States,Colorado,Denver,Not provided,FALSE,Male,26/02/1954,Chief Executive Officer,Old
2076,Stewart Butterfield,49,1.4,1400000000.00,Technology,MessagingSoftware,United States,Colorado,Aspen,Slack Technologies,TRUE,Male,21/03/1973,Chief Executive Officer and Cofounder,Middle Aged Adult
2324,Thomas Bailey,85,1.2,1200000000.00,Finance & Investments,MoneyManagement,United States,Colorado,Aspen,Not provided,TRUE,Male,01/01/1937,Chief Executive Officer,Old
71,Ray Dalio,72,22,22000000000.00,Finance & Investments,HedgeFunds,United States,Connecticut,Greenwich,Bridgewater Associates,TRUE,Male,08/08/1949,Founder and Chairman,Old
96,Steve Cohen,65,17.4,17400000000.00,Finance & Investments,HedgeFunds,United States,Connecticut,Greenwich,Point72 Asset Management,TRUE,Male,11/06/1956,Founder,Old
375,Andreas Halvorsen,60,6.6,6600000000.00,Finance & Investments,HedgeFunds,United States,Connecticut,Darien,Viking Global Investors,TRUE,Male,23/04/1961,Investor,Middle Aged Adult
438,Karen Pritzker,64,5.8,5800000000.00,Finance & Investments,Hotels Investments,United States,Connecticut,Branford,Not provided,FALSE,Female,07/01/1958,Chief Executive Officer,Old
536,Alexandre Behring,55,5.1,5100000000.00,Finance & Investments,Investments,United States,Connecticut,Greenwich,Not provided,TRUE,Male,20/02/1967,Chief Executive Officer,Middle Aged Adult
637,Todd Boehly,48,4.5,4500000000.00,Finance & Investments,Finance,United States,Connecticut,Darien,Not provided,TRUE,Male,20/09/1973,Chief Executive Officer,Middle Aged Adult
764,"Stephen Mandel, Jr.",66,3.9,3900000000.00,Finance & Investments,HedgeFunds,United States,Connecticut,Greenwich,Lone Pine Capital,TRUE,Male,12/03/1956,Founder,Old
801,Brad Jacobs,65,3.7,3700000000.00,Logistics,Logistics,United States,Connecticut,Greenwich,Not provided,TRUE,Male,01/07/1956,Chief Executive Officer,Old
1292,Alexandra Daitch,59,2.4,2400000000.00,Food & Beverage,Cargill,United States,Connecticut,Old Lyme,Not provided,FALSE,Female,01/01/1963,Chief Executive Officer,Middle Aged Adult
1292,Lucy Stitzer,62,2.4,2400000000.00,Food & Beverage,Cargill,United States,Connecticut,Greenwich,Not provided,FALSE,Female,01/01/1960,Chief Executive Officer,Old
1397,Vincent McMahon,76,2.2,2200000000.00,Sports,Entertainment,United States,Connecticut,Greenwich,Not provided,TRUE,Male,24/08/1945,Chief Executive Officer,Old
1579,Mario Gabelli,80,1.9,1900000000.00,Finance & Investments,MoneyManagement,United States,Connecticut,Greenwich,Not provided,TRUE,Male,31/03/1942,Chief Executive Officer,Old
1818,Clifford Asness,55,1.6,1600000000.00,Finance & Investments,MoneyManagement,United States,Connecticut,Greenwich,AQR Capital Management,TRUE,Male,17/10/1966,Chief Executive Officer,Middle Aged Adult
2578,Michael Rees,47,1,1000000000.00,Finance & Investments,PrivateEquity,United States,Connecticut,New Canaan,Not provided,TRUE,Male,19/03/1975,Chief Executive Officer,Middle Aged Adult
80,Thomas Peterffy,77,20.1,20100000000.00,Finance & Investments,Brokerage,United States,Florida,Palm Beach,Not provided,TRUE,Male,30/09/1944,Chief Executive Officer,Old
103,David Tepper,64,16.7,16700000000.00,Finance & Investments,HedgeFunds,United States,Florida,Palm Beach,Appaloosa Management,TRUE,Male,11/09/1957,President and Chairman,Old
106,Carl Icahn,86,16.5,16500000000.00,Finance & Investments,Investments,United States,Florida,Indian Creek,Icahn Capital Management,TRUE,Male,16/02/1936,Founder,Old
313,Shahid Khan,71,7.6,7600000000.00,Automotive,AutoLoans,United States,Florida,Naples,Not provided,TRUE,Male,18/07/1950,Chief Executive Officer,Old
324,"Paul Tudor Jones, II.",67,7.3,7300000000.00,Finance & Investments,HedgeFunds,United States,Florida,Palm Beach,Tudor Investment Corporation,TRUE,Male,28/09/1954,Founder,Old
330,Reinhold Schmieding,67,7.2,7200000000.00,Healthcare,MedicalDevices,United States,Florida,Naples,Not provided,TRUE,Male,03/01/1955,Chief Executive Officer,Old
336,J. Christopher Reyes,68,7.1,7100000000.00,Food & Beverage,FoodDistribution,United States,Florida,Hobe Sound,Reyes Holdings,TRUE,Male,29/12/1953,Cochairman,Old
336,Jude Reyes,66,7.1,7100000000.00,Food & Beverage,FoodDistribution,United States,Florida,Palm Beach,Reyes Holdings,TRUE,Male,16/09/1955,Cochairman,Old
350,Micky Arison,72,6.9,6900000000.00,Service,CarnivalCruises,United States,Florida,Bal Harbour,Carnival Corporation,FALSE,Male,29/06/1949,Chief Executive Officer and Chairman,Old
403,Orlando Bravo,51,6.3,6300000000.00,Finance & Investments,PrivateEquity,United States,Florida,Miami Beach,Not provided,TRUE,Male,23/09/1970,Chief Executive Officer,Middle Aged Adult
438,Terrence Pegula,71,5.8,5800000000.00,Energy,NaturalGas,United States,Florida,Boca Raton,Buffalo Sabres,TRUE,Male,27/03/1951,Founder,Old
480,Ronald Wanek,80,5.5,5500000000.00,Manufacturing,FurnitureRetail,United States,Florida,Saint Petersburg,Not provided,TRUE,Male,19/05/1941,Chief Executive Officer,Old
490,Tom Golisano,80,5.4,5400000000.00,Service,PayrollSoftware,United States,Florida,Naples,Not provided,TRUE,Male,14/11/1941,Chief Executive Officer,Old
536,Isaac Perlmutter,79,5.1,5100000000.00,Media & Entertainment,MarvelComics,United States,Florida,Palm Beach,Marvel Entertainment,TRUE,Male,01/12/1942,Chairman,Old
536,Charles B. Johnson,89,5.1,5100000000.00,Finance & Investments,MoneyManagement,United States,Florida,Palm Beach,Franklin Resources,FALSE,Male,06/01/1933,Chairman,Old
536,Jeff Greene,67,5.1,5100000000.00,Real Estate,RealEstate Investments,United States,Florida,Palm Beach,Not provided,TRUE,Male,10/12/1954,Chief Executive Officer,Old
552,Dirk Ziff,58,5,5000000000.00,Finance & Investments,Investments,United States,Florida,North Palm Beach,Not provided,FALSE,Male,01/04/1964,Chief Executive Officer,Middle Aged Adult
579,"Robert Rich, Jr.",81,4.9,4900000000.00,Food & Beverage,FoodProcessing,United States,Florida,Islamorada,Not provided,FALSE,Male,25/01/1941,Chief Executive Officer,Old
601,Igor Olenicoff,79,4.7,4700000000.00,Real Estate,RealEstate,United States,Florida,Lighthouse Point,Not provided,TRUE,Male,20/09/1942,Chief Executive Officer,Old
622,Sami Mnaymneh,60,4.6,4600000000.00,Finance & Investments,PrivateEquity,United States,Florida,Miami Beach,Not provided,TRUE,Male,13/07/1961,Chief Executive Officer,Middle Aged Adult
665,Richard Schulze,81,4.3,4300000000.00,Fashion & Retail,BestBuy,United States,Florida,Bonita Springs,Best Buy,TRUE,Male,02/01/1941,Chairman,Old
665,Barry Sternlicht,61,4.3,4300000000.00,Finance & Investments,PrivateEquity,United States,Florida,Miami,Not provided,TRUE,Male,27/11/1960,Chief Executive Officer,Old
709,Russ Weiner,51,4.1,4100000000.00,Food & Beverage,EnergyDrink,United States,Florida,Delray Beach,Not provided,TRUE,Male,05/05/1970,Chief Executive Officer,Middle Aged Adult
728,Rakesh Gangwal,68,4,4000000000.00,Service,Airline,United States,Florida,Miami,Not provided,TRUE,Male,25/07/1953,Chief Executive Officer,Old
728,Daniel Och,61,4,4000000000.00,Finance & Investments,HedgeFunds,United States,Florida,Miami Beach,Och-Ziff Capital Management,TRUE,Male,27/01/1961,Founder,Old
728,Herbert Wertheim,82,4,4000000000.00,Finance & Investments,Investments,United States,Florida,Coral Gables,Not provided,TRUE,Male,23/05/1939,Chief Executive Officer,Old
801,William Berkley,75,3.7,3700000000.00,Finance & Investments,Insurance,United States,Florida,Coconut Grove,WR Berkley,TRUE,Male,01/09/1946,Chief Executive Officer and Chairman,Old
822,John Henry,72,3.6,3600000000.00,Sports,Sports,United States,Florida,Boca Raton,Not provided,TRUE,Male,13/09/1949,Chief Executive Officer,Old
851,"William Wrigley, Jr.",58,3.5,3500000000.00,Food & Beverage,ChewingGum,United States,Florida,North Palm Beach,"Wrigley Management, Inc.",FALSE,Male,01/11/1963,Investor,Middle Aged Adult
883,Nick Caporella,86,3.4,3400000000.00,Food & Beverage,Beverages,United States,Florida,Plantation,Not provided,TRUE,Male,15/01/1936,Chief Executive Officer,Old
883,Todd Wanek,58,3.4,3400000000.00,Manufacturing,FurnitureRetail,United States,Florida,St. Petersburg,Not provided,FALSE,Male,16/03/1964,Chief Executive Officer,Middle Aged Adult
883,Richard Sands,71,3.4,3400000000.00,Food & Beverage,Liquor,United States,Florida,Delray Beach,Not provided,FALSE,Male,03/03/1951,Chief Executive Officer,Old
883,Robert Sands,63,3.4,3400000000.00,Food & Beverage,Liquor,United States,Florida,Delray Beach,Constellation Brands,FALSE,Male,10/06/1958,Chief Executive Officer,Old
913,Steve Wynn,80,3.3,3300000000.00,Gambling & Casinos,Casinos Hotels,United States,Florida,Palm Beach,Wynn Resorts,TRUE,Male,27/01/1942,Cofounder,Old
951,James Clark,78,3.2,3200000000.00,Technology,Netscape Investments,United States,Florida,Palm Beach,Netscape Communications Corporation,TRUE,Male,23/03/1944,Cofounder,Old
1012,Todd Christopher,59,3,3000000000.00,Fashion & Retail,HairCareProducts,United States,Florida,Clearwater,Not provided,TRUE,Male,08/10/1962,Entrepreneur,Middle Aged Adult
1012,Donald Trump,75,3,3000000000.00,Real Estate,RealEstate,United States,Florida,Palm Beach,Not provided,FALSE,Male,14/06/1946,Chief Executive Officer,Old
1096,William Stone,66,2.8,2800000000.00,Technology,Software,United States,Florida,Naples,Not provided,TRUE,Male,09/04/1955,Chief Executive Officer,Old
1163,C. Dean Metropoulos,75,2.7,2700000000.00,Food & Beverage,Investments,United States,Florida,Palm Beach,Not provided,TRUE,Male,05/05/1946,Chief Executive Officer,Old
1163,"Edward DeBartolo, Jr.",75,2.7,2700000000.00,Real Estate,ShoppingCenters,United States,Florida,Tampa,Not provided,FALSE,Male,06/11/1946,Chief Executive Officer,Old
1196,Norman Braman,89,2.6,2600000000.00,Automotive,Art,United States,Florida,Miami,Not provided,TRUE,Male,22/08/1932,Chief Executive Officer,Old
1196,J. Hyatt Brown,84,2.6,2600000000.00,Finance & Investments,Insurance,United States,Florida,Ormond Beach,Not provided,FALSE,Male,12/07/1937,Chief Executive Officer,Old
1238,Leon G. Cooperman,78,2.5,2500000000.00,Finance & Investments,HedgeFunds,United States,Florida,Boca Raton,"Omega Advisors, Inc.",TRUE,Male,25/04/1943,Founder,Old
1341,Kenneth Feld & family,73,2.3,2300000000.00,Media & Entertainment,Entertainment,United States,Florida,Sarasota,Feld Entertainment,FALSE,Male,31/10/1948,Chairman,Old
1397,Phillip Frost,85,2.2,2200000000.00,Healthcare,Pharmaceuticals,United States,Florida,Miami Beach,Not provided,TRUE,Male,11/11/1936,Chief Executive Officer,Old
1445,Fred Ehrsam,33,2.1,2100000000.00,Finance & Investments,Cryptocurrency,United States,Florida,Miami,Coinbase,TRUE,Male,10/05/1988,Cofounder,Young Adult
1445,Thomas James,79,2.1,2100000000.00,Finance & Investments,Finance,United States,Florida,Saint Petersburg,Not provided,FALSE,Male,10/05/1942,Chief Executive Officer,Old
1445,Ryan Cohen,36,2.1,2100000000.00,Finance & Investments,Investments,United States,Florida,Bal Harbour,Not provided,TRUE,Male,04/08/1985,Chief Executive Officer,Young Adult
1445,Igor Makarov,60,2.1,2100000000.00,Energy,Investments,United States,Florida,Miami,Not provided,TRUE,Male,05/04/1962,Chief Executive Officer,Middle Aged Adult
1513,Ryan Breslow,27,2,2000000000.00,Technology,E-commerce,United States,Florida,Miami,Bolt,TRUE,Male,20/05/1994,Cofounder,Young Adult
1513,Henry Laufer,76,2,2000000000.00,Finance & Investments,HedgeFunds,United States,Florida,Lake Worth,Not provided,TRUE,Male,13/08/1945,Investor,Old
1513,Robert Duggan,77,2,2000000000.00,Healthcare,Pharmaceuticals,United States,Florida,Clearwater,Not provided,TRUE,Male,28/04/1944,Chief Executive Officer,Old
1513,S. Daniel Abraham,97,2,2000000000.00,Food & Beverage,Slim-Fast,United States,Florida,Palm Beach,S. Daniel Abraham Center for Middle East Peace,TRUE,Male,15/08/1924,Chairman,Old
1579,Dwight Schar,80,1.9,1900000000.00,Construction & Engineering,Homebuilding,United States,Florida,Palm Beach,Not provided,TRUE,Male,08/02/1942,Chief Executive Officer,Old
1645,Charlotte Colket Weber,79,1.8,1800000000.00,Food & Beverage,CampbellSoup,United States,Florida,Hobe Sound,Campbell Soup,FALSE,Female,19/11/1942,Director,Old
1645,James France,77,1.8,1800000000.00,Sports,Nascar Racing,United States,Florida,Daytona Beach,Not provided,FALSE,Male,24/10/1944,Chief Executive Officer,Old
1645,Edward Lampert,59,1.8,1800000000.00,Finance & Investments,Sears,United States,Florida,Miami Beach,ESL Investments Inc.,TRUE,Male,19/07/1962,Founder,Middle Aged Adult
1729,Michael Jordan,59,1.7,1700000000.00,Sports,CharlotteHornets Endorsements,United States,Florida,Jupiter,Not provided,TRUE,Male,17/02/1963,Athlete,Middle Aged Adult
1729,Jorge Perez,72,1.7,1700000000.00,Real Estate,RealEstate,United States,Florida,Miami,Not provided,TRUE,Male,17/10/1949,Chief Executive Officer,Old
1729,Jimmy John Liautaud,58,1.7,1700000000.00,Food & Beverage,SandwichChain,United States,Florida,Key Largo,Not provided,TRUE,Male,12/01/1964,Chief Executive Officer,Middle Aged Adult
1818,Paul Saville,66,1.6,1600000000.00,Real Estate,Homebuilding,United States,Florida,Palm Beach,Not provided,TRUE,Male,14/12/1955,Chief Executive Officer,Old
1818,William Koch,81,1.6,1600000000.00,Energy,Oil Investments,United States,Florida,Palm Beach,Not provided,FALSE,Male,03/05/1940,Chief Executive Officer,Old
1818,Randal J. Kirk,68,1.6,1600000000.00,Healthcare,Pharmaceuticals,United States,Florida,Manalapan,Not provided,TRUE,Male,01/03/1954,Chief Executive Officer,Old
1818,Austin Russell,27,1.6,1600000000.00,Automotive,SensorSystems,United States,Florida,Orlando,Luminar,TRUE,Male,14/03/1995,Founder,Young Adult
1818,Catherine Lozick,76,1.6,1600000000.00,Manufacturing,ValveManufacturing,United States,Florida,Fort Lauderdale,Not provided,FALSE,Female,01/05/1945,Chief Executive Officer,Old
1929,Mike Repole,54,1.5,1500000000.00,Food & Beverage,EnergyDrink,United States,Florida,Windermere,Not provided,TRUE,Male,21/01/1968,Chief Executive Officer,Middle Aged Adult
1929,Bharat Desai,69,1.5,1500000000.00,Technology,ITConsulting,United States,Florida,Fisher Island,Syntel Inc.,TRUE,Male,20/11/1952,Chairman,Old
1929,Jonathan Oringer,47,1.5,1500000000.00,Technology,StockPhotos,United States,Florida,Miami Beach,Not provided,TRUE,Male,02/05/1974,Chief Executive Officer,Middle Aged Adult
2076,Scott Kapnick,63,1.4,1400000000.00,Finance & Investments,PrivateEquity,United States,Florida,Naples,Not provided,TRUE,Male,09/02/1959,Investor,Old
2190,Patrick Zalupski,41,1.3,1300000000.00,Real Estate,Homebuilding,United States,Florida,Jacksonville,Not provided,TRUE,Male,29/11/1980,Chief Executive Officer,Middle Aged Adult
2190,David Hoffman,69,1.3,1300000000.00,Diversified,Investments,United States,Florida,Naples,Not provided,TRUE,Male,07/08/1952,Chief Executive Officer,Old
2324,Duke Reyes,65,1.2,1200000000.00,Food & Beverage,BeerDistribution,United States,Florida,Palm Beach,Not provided,FALSE,Male,23/03/1957,Chief Executive Officer,Old
2324,J. Wayne Weaver,86,1.2,1200000000.00,Diversified,Shoes,United States,Florida,Jacksonville,Not provided,TRUE,Male,01/09/1935,Chief Executive Officer,Old
2448,Jorge Mas,59,1.1,1100000000.00,Construction & Engineering,Construction,United States,Florida,Miami,Not provided,FALSE,Male,28/02/1963,Chief Executive Officer,Middle Aged Adult
2448,Robert Toll,81,1.1,1100000000.00,Real Estate,HomeDepot,United States,Florida,Miami Beach,Not provided,TRUE,Male,30/12/1940,Chief Executive Officer,Old
2448,Michael S. Smith,66,1.1,1100000000.00,Energy,Liquor,United States,Florida,Miami Beach,Not provided,TRUE,Male,09/05/1955,Investor,Old
2578,Carl DeSantis,82,1,1000000000.00,Food & Beverage,EnergyDrink,United States,Florida,Delray Beach,Not provided,TRUE,Male,19/07/1939,Chief Executive Officer,Old
2578,Neerja Sethi,67,1,1000000000.00,Technology,ITConsulting Outsourcing,United States,Florida,Fisher Island,Not provided,TRUE,Female,16/01/1955,Entrepreneur,Old
241,Bernard Marcus,92,8.7,8700000000.00,Fashion & Retail,HomeDepot,United States,Georgia,Atlanta,The Home Depot,TRUE,Male,12/05/1929,Cofounder,Old
296,Jim Kennedy,74,7.8,7800000000.00,Media & Entertainment,Media Automotive,United States,Georgia,Atlanta,Cox Enterprises,FALSE,Male,29/11/1947,Chairman,Old
336,Arthur Blank,79,7.1,7100000000.00,Sports,HomeDepot,United States,Georgia,Atlanta,Atlanta Falcons,TRUE,Male,27/09/1942,Chairman,Old
490,John Brown,87,5.4,5400000000.00,Healthcare,MedicalEquipment,United States,Georgia,Atlanta,Not provided,TRUE,Male,15/09/1934,Chief Executive Officer,Old
509,Gary Rollins,77,5.3,5300000000.00,Service,PestControl,United States,Georgia,Atlanta,Not provided,FALSE,Male,30/08/1944,Chief Executive Officer,Old
552,Ben Chestnut,47,5,5000000000.00,Technology,EmailMarketing,United States,Georgia,Atlanta,Not provided,TRUE,Male,15/06/1974,Chief Executive Officer,Middle Aged Adult
552,Dan Kurzius,50,5,5000000000.00,Technology,EmailMarketing,United States,Georgia,Atlanta,Not provided,TRUE,Male,01/12/1971,Chief Executive Officer,Middle Aged Adult
622,Bubba Cathy,67,4.6,4600000000.00,Food & Beverage,Chick-fil-A,United States,Georgia,Atlanta,Not provided,FALSE,Male,22/04/1954,Chief Executive Officer,Old
622,Dan Cathy,69,4.6,4600000000.00,Food & Beverage,Chick-fil-A,United States,Georgia,Atlanta,Not provided,FALSE,Male,01/03/1953,Chief Executive Officer,Old
622,Trudy Cathy White,66,4.6,4600000000.00,Food & Beverage,Chick-fil-A,United States,Georgia,Hampton,Not provided,FALSE,Female,17/12/1955,Chief Executive Officer,Old
1341,Ted Turner,83,2.3,2300000000.00,Media & Entertainment,CableTelevision,United States,Georgia,Atlanta,Not provided,FALSE,Male,19/11/1938,Chief Executive Officer,Old
1513,"Joe Rogers, Jr.",75,2,2000000000.00,Food & Beverage,WaffleHouse,United States,Georgia,Atlanta,Not provided,FALSE,Male,02/12/1946,Chief Executive Officer,Old
1579,David Zalik,48,1.9,1900000000.00,Technology,Fintech,United States,Georgia,Atlanta,GreenSky,TRUE,Male,02/02/1974,Chief Executive Officer,Middle Aged Adult
2076,Tope Awotona,40,1.4,1400000000.00,Technology,Software,United States,Georgia,Atlanta,Calendly,TRUE,Male,22/04/1981,Entrepreneur,Young Adult
2448,Sara Blakely,51,1.1,1100000000.00,Fashion & Retail,Spanx,United States,Georgia,Atlanta,Spanx,TRUE,Female,27/02/1971,Founder,Middle Aged Adult
2578,Tyler Perry,52,1,1000000000.00,Media & Entertainment,Movies Television,United States,Georgia,Atlanta,Television,TRUE,Male,14/09/1969,Director,Middle Aged Adult
2578,Ronald Clarke,66,1,1000000000.00,Technology,PaymentSoftware,United States,Georgia,Duluth,FleetCor Technologies,TRUE,Male,15/08/1955,Chief Executive Officer,Old
2578,Jeff Sprecher,67,1,1000000000.00,Finance & Investments,StockExchanges,United States,Georgia,Atlanta,Not provided,TRUE,Male,23/02/1955,Chief Executive Officer,Old
8,Larry Ellison,77,106,106000000000.00,Technology,Software,United States,Hawaii,Lanai,Oracle,TRUE,Male,17/08/1944,Chief Executive Officer,Old
173,Pierre Omidyar,54,11.3,11300000000.00,Technology,eBay PayPal,United States,Hawaii,Honolulu,eBay,TRUE,Male,21/06/1967,Entrepreneur,Middle Aged Adult
